image#0#0	caption
1000268201_693b08cb0e#0	child in pink dress is climbing up set of stairs in an entry way
1000268201_693b08cb0e#1	girl going into wooden building
1000268201_693b08cb0e#2	little girl climbing into wooden playhouse
1000268201_693b08cb0e#3	little girl climbing the stairs to her playhouse
1000268201_693b08cb0e#4	little girl in pink dress going into wooden cabin
1001773457_577c3a7d70#0	black dog and spotted dog are fighting
1001773457_577c3a7d70#1	black dog and tricolored dog playing with each other on the road
1001773457_577c3a7d70#2	black dog and white dog with brown spots are staring at each other in the street
1001773457_577c3a7d70#3	two dogs of different breeds looking at each other on the road
1001773457_577c3a7d70#4	two dogs on pavement moving toward each other
1002674143_1b742ab4b8#0	little girl covered in paint sits in front of painted rainbow with her hands in bowl
1002674143_1b742ab4b8#1	little girl is sitting in front of large painted rainbow
1002674143_1b742ab4b8#2	small girl in the grass plays with fingerpaints in front of white canvas with rainbow on it
1002674143_1b742ab4b8#3	there is girl with pigtails sitting in front of rainbow painting
1002674143_1b742ab4b8#4	young girl with pigtails painting outside in the grass
1003163366_44323f5815#0	man lays on bench while his dog sits by him
1003163366_44323f5815#1	man lays on the bench to which white dog is also tied
1003163366_44323f5815#2	man sleeping on bench outside with white and black dog sitting next to him
1003163366_44323f5815#3	shirtless man lies on park bench with his dog
1003163366_44323f5815#4	man laying on bench holding leash of dog sitting on ground
1007129816_e794419615#0	man in an orange hat starring at something
1007129816_e794419615#1	man wears an orange hat and glasses
1007129816_e794419615#2	man with gauges and glasses is wearing blitz hat
1007129816_e794419615#3	man with glasses is wearing beer can crocheted hat
1007129816_e794419615#4	the man with pierced ears is wearing glasses and an orange hat
1007320043_627395c3d8#0	child playing on rope net
1007320043_627395c3d8#1	little girl climbing on red roping
1007320043_627395c3d8#2	little girl in pink climbs rope bridge at the park
1007320043_627395c3d8#3	small child grips onto the red ropes at the playground
1007320043_627395c3d8#4	the small child climbs on red ropes on playground
1009434119_febe49276a#0	black and white dog is running in grassy garden surrounded by white fence
1009434119_febe49276a#1	black and white dog is running through the grass
1009434119_febe49276a#2	boston terrier is running in the grass
1009434119_febe49276a#3	boston terrier is running on lush green grass in front of white fence
1009434119_febe49276a#4	dog runs on the green grass near wooden fence
1012212859_01547e3f17#0	dog shakes its head near the shore red ball next to it
1012212859_01547e3f17#1	white dog shakes on the edge of beach with an orange ball
1012212859_01547e3f17#2	dog with orange ball at feet stands on shore shaking off water
1012212859_01547e3f17#3	white dog playing with red ball on the shore near the water
1012212859_01547e3f17#4	white dog with brown ears standing near water with head turned to one side
1015118661_980735411b#0	boy smiles in front of stony wall in city
1015118661_980735411b#1	little boy is standing on the street while man in overalls is working on stone wall
1015118661_980735411b#2	young boy runs aross the street
1015118661_980735411b#3	young child is walking on stone paved street with metal pole and man behind him
1015118661_980735411b#4	smiling boy in white shirt and blue jeans in front of rock wall with man in overalls behind him
1015584366_dfcec3c85a#0	black dog leaps over log
